Episode 1, Agent: 0, Score: 0, Epsilon: 0.9985
Episode 2, Agent: 0, Score: 0, Epsilon: 0.9970
Episode 3, Agent: 0, Score: 0, Epsilon: 0.9955
Episode 4, Agent: 0, Score: 0, Epsilon: 0.9940
Episode 5, Agent: 0, Score: 0, Epsilon: 0.9925
Episode 6, Agent: 0, Score: 0, Epsilon: 0.9910
Episode 7, Agent: 0, Score: 0, Epsilon: 0.9895
Episode 8, Agent: 0, Score: 0, Epsilon: 0.9881
Episode 9, Agent: 0, Score: 0, Epsilon: 0.9866
Episode 10, Agent: 0, Score: 0, Epsilon: 0.9851
Episode 11, Agent: 0, Score: 0, Epsilon: 0.9836
Episode 12, Agent: 0, Score: 0, Epsilon: 0.9821
Episode 13, Agent: 0, Score: 0, Epsilon: 0.9807
Episode 14, Agent: 0, Score: 0, Epsilon: 0.9792
Episode 15, Agent: 0, Score: 0, Epsilon: 0.9777
Episode 16, Agent: 0, Score: 0, Epsilon: 0.9763
Episode 17, Agent: 0, Score: 0, Epsilon: 0.9748
Episode 18, Agent: 0, Score: 0, Epsilon: 0.9733
Episode 19, Agent: 0, Score: 0, Epsilon: 0.9719
Episode 20, Agent: 0, Score: 0, Epsilon: 0.9704
Episode 21, Agent: 0, Score: 0, Epsilon: 0.9690
Episode 22, Agent: 0, Score: 0, Epsilon: 0.9675
Episode 23, Agent: 0, Score: 0, Epsilon: 0.9661
Episode 24, Agent: 0, Score: 0, Epsilon: 0.9646
Episode 25, Agent: 0, Score: 0, Epsilon: 0.9632
Episode 26, Agent: 0, Score: 0, Epsilon: 0.9617
Episode 27, Agent: 0, Score: 0, Epsilon: 0.9603
Episode 28, Agent: 0, Score: 0, Epsilon: 0.9588
Episode 29, Agent: 0, Score: 0, Epsilon: 0.9574
Episode 30, Agent: 0, Score: 0, Epsilon: 0.9560
Episode 31, Agent: 0, Score: 0, Epsilon: 0.9545
Episode 32, Agent: 0, Score: 0, Epsilon: 0.9531
Episode 33, Agent: 0, Score: 0, Epsilon: 0.9517
Episode 34, Agent: 0, Score: 0, Epsilon: 0.9502
Episode 35, Agent: 0, Score: 0, Epsilon: 0.9488
Episode 36, Agent: 0, Score: 0, Epsilon: 0.9474
Episode 37, Agent: 0, Score: 0, Epsilon: 0.9460
Episode 38, Agent: 0, Score: 0, Epsilon: 0.9446
Episode 39, Agent: 0, Score: 0, Epsilon: 0.9431
Episode 40, Agent: 0, Score: 0, Epsilon: 0.9417
Episode 41, Agent: 0, Score: 0, Epsilon: 0.9403
Episode 42, Agent: 0, Score: 0, Epsilon: 0.9389
Episode 43, Agent: 0, Score: 0, Epsilon: 0.9375
Episode 44, Agent: 0, Score: 0, Epsilon: 0.9361
Episode 45, Agent: 0, Score: 0, Epsilon: 0.9347
Episode 46, Agent: 0, Score: 0, Epsilon: 0.9333
Episode 47, Agent: 0, Score: 0, Epsilon: 0.9319
Episode 48, Agent: 0, Score: 0, Epsilon: 0.9305
Episode 49, Agent: 0, Score: 0, Epsilon: 0.9291
Episode 50, Agent: 0, Score: 0, Epsilon: 0.9277
Episode 51, Agent: 0, Score: 0, Epsilon: 0.9263
Episode 52, Agent: 0, Score: 0, Epsilon: 0.9249
Episode 53, Agent: 0, Score: 0, Epsilon: 0.9235
Episode 54, Agent: 0, Score: 0, Epsilon: 0.9221
Episode 55, Agent: 0, Score: 0, Epsilon: 0.9208
Episode 56, Agent: 0, Score: 0, Epsilon: 0.9194
Episode 57, Agent: 0, Score: 0, Epsilon: 0.9180
Episode 58, Agent: 0, Score: 0, Epsilon: 0.9166
Episode 59, Agent: 0, Score: 0, Epsilon: 0.9152
Episode 60, Agent: 0, Score: 0, Epsilon: 0.9139
Episode 61, Agent: 0, Score: 0, Epsilon: 0.9125
Episode 62, Agent: 0, Score: 0, Epsilon: 0.9111
Episode 63, Agent: 0, Score: 0, Epsilon: 0.9098
Episode 64, Agent: 0, Score: 0, Epsilon: 0.9084
Episode 65, Agent: 0, Score: 0, Epsilon: 0.9070
Episode 66, Agent: 0, Score: 0, Epsilon: 0.9057
Episode 67, Agent: 0, Score: 0, Epsilon: 0.9043
Episode 68, Agent: 0, Score: 0, Epsilon: 0.9030
Episode 69, Agent: 0, Score: 0, Epsilon: 0.9016
Episode 70, Agent: 0, Score: 0, Epsilon: 0.9003
Episode 71, Agent: 0, Score: 1, Epsilon: 0.8989
Episode 72, Agent: 0, Score: 0, Epsilon: 0.8976
Episode 73, Agent: 0, Score: 0, Epsilon: 0.8962
Episode 74, Agent: 0, Score: 0, Epsilon: 0.8949
Episode 75, Agent: 0, Score: 0, Epsilon: 0.8935
